quantity_prepared,expected_orders,current_stock,expiry_hours,previous_wastage,waste_risk
100,95,10,24,3,Low
120,115,15,18,5,Low
80,85,5,36,2,Low
60,65,8,48,1,Low
150,140,20,16,6,Low
90,92,12,20,4,Low
110,105,10,22,3,Low
75,70,8,26,2,Low
130,125,14,18,5,Low
85,90,6,30,2,Low
50,55,5,40,1,Low
95,90,12,24,4,Low
105,100,10,20,3,Low
70,75,4,32,2,Low
140,135,18,18,6,Low
65,70,6,36,1,Low
115,110,12,22,4,Low
80,80,8,28,3,Low
125,120,15,19,5,Low
90,95,7,30,2,Low
100,85,25,12,8,Medium
120,100,30,10,10,Medium
130,110,35,8,12,Medium
90,75,20,14,7,Medium
110,95,22,11,9,Medium
140,120,32,9,11,Medium
85,70,25,13,8,Medium
95,80,24,12,7,Medium
105,90,28,10,9,Medium
115,100,26,11,8,Medium
125,105,32,9,12,Medium
80,68,22,14,6,Medium
135,115,30,10,10,Medium
75,62,20,15,7,Medium
150,130,35,8,13,Medium
70,58,18,16,6,Medium
100,82,27,11,9,Medium
120,102,29,10,10,Medium
110,92,26,12,8,Medium
90,76,23,13,7,Medium
150,80,60,4,25,High
180,90,70,3,30,High
160,85,65,5,28,High
200,100,85,2,35,High
140,70,55,4,22,High
175,95,68,3,27,High
190,105,75,4,32,High
130,65,50,5,20,High
165,80,62,3,26,High
155,75,60,4,24,High
170,88,66,3,29,High
185,92,72,2,33,High
145,72,58,4,23,High
195,100,80,3,34,High
135,68,52,5,21,High
160,82,64,4,27,High
175,90,70,3,31,High
150,78,58,4,25,High
180,95,74,2,32,High
200,110,82,3,36,High
55,60,5,42,1,Low
70,72,6,38,2,Low
85,88,8,30,2,Low
95,98,9,26,3,Low
105,108,11,22,4,Low
115,118,12,20,4,Low
125,128,14,18,5,Low
135,138,15,16,5,Low
145,148,16,15,6,Low
60,62,7,36,2,Low
75,78,8,32,2,Low
90,93,10,25,3,Low
100,104,11,21,4,Low
110,114,13,19,4,Low
120,123,14,17,5,Low
130,134,16,16,5,Low
80,82,9,28,3,Low
88,90,10,24,3,Low
98,100,11,22,4,Low
108,110,12,20,4,Low
105,88,26,11,9,Medium
112,94,27,10,8,Medium
118,98,28,11,9,Medium
122,102,29,9,10,Medium
128,106,30,10,11,Medium
132,112,31,9,10,Medium
138,116,33,8,12,Medium
142,122,32,9,11,Medium
88,72,23,12,7,Medium
92,76,24,13,8,Medium
96,80,25,11,8,Medium
102,84,26,12,9,Medium
108,90,27,10,9,Medium
114,96,28,11,8,Medium
124,104,30,9,10,Medium
126,108,31,10,11,Medium
82,66,21,14,7,Medium
86,70,22,13,7,Medium
94,78,24,12,8,Medium
98,82,25,11,8,Medium
145,75,56,4,22,High
152,78,59,3,24,High
158,82,61,4,26,High
164,84,63,3,27,High
168,86,65,4,28,High
172,88,67,3,29,High
178,90,69,2,31,High
182,92,71,3,32,High
188,94,73,2,33,High
192,96,76,3,34,High
142,70,54,5,21,High
148,74,57,4,23,High
154,76,60,3,25,High
162,80,62,4,26,High
166,85,64,3,28,High
174,87,68,2,30,High
184,91,72,3,32,High
186,93,73,2,33,High
194,98,78,3,35,High
198,102,80,2,36,High
102,100,10,22,3,Low
112,110,11,20,4,Low
122,120,13,18,5,Low
132,130,14,17,5,Low
72,70,7,34,2,Low
82,80,8,29,3,Low
92,90,9,25,3,Low
62,60,6,38,2,Low
52,50,5,44,1,Low
142,140,16,16,6,Low
104,86,27,11,9,Medium
116,96,29,10,9,Medium
126,104,31,9,11,Medium
136,114,33,9,11,Medium
76,60,20,15,6,Medium
84,68,22,13,7,Medium
94,78,25,12,8,Medium
106,88,27,10,9,Medium
118,98,30,10,10,Medium
128,108,32,9,11,Medium
144,72,55,4,22,High
156,78,60,3,25,High
165,82,63,4,27,High
176,88,68,3,30,High
185,92,72,2,33,High
195,98,78,3,35,High
148,74,58,4,24,High
162,80,62,3,27,High
170,85,66,4,29,High
180,90,70,2,32,High
