day,food_category,previous_orders,previous_demand,actual_demand
Monday,South Indian,45,48,50
Monday,North Indian,60,62,65
Monday,Chinese,35,38,40
Monday,Fast Food,50,55,52
Monday,Desserts,25,28,30
Tuesday,South Indian,48,50,52
Tuesday,North Indian,65,64,68
Tuesday,Chinese,38,40,42
Tuesday,Fast Food,55,52,58
Tuesday,Desserts,28,30,29
Wednesday,South Indian,50,52,55
Wednesday,North Indian,68,70,72
Wednesday,Chinese,42,44,45
Wednesday,Fast Food,58,60,62
Wednesday,Desserts,30,32,35
Thursday,South Indian,55,54,58
Thursday,North Indian,72,75,76
Thursday,Chinese,45,46,50
Thursday,Fast Food,62,65,66
Thursday,Desserts,32,35,38
Friday,South Indian,68,70,75
Friday,North Indian,90,92,98
Friday,Chinese,65,68,72
Friday,Fast Food,85,88,94
Friday,Desserts,45,48,52
Saturday,South Indian,85,88,95
Saturday,North Indian,115,118,125
Saturday,Chinese,85,88,96
Saturday,Fast Food,110,115,122
Saturday,Desserts,65,68,74
Sunday,South Indian,95,98,105
Sunday,North Indian,125,128,135
Sunday,Chinese,90,95,102
Sunday,Fast Food,120,125,130
Sunday,Desserts,70,75,80
Monday,South Indian,42,46,48
Monday,North Indian,58,60,62
Monday,Chinese,32,35,36
Monday,Fast Food,48,50,53
Monday,Desserts,22,25,26
Tuesday,South Indian,46,48,49
Tuesday,North Indian,62,65,66
Tuesday,Chinese,36,38,41
Tuesday,Fast Food,52,55,56
Tuesday,Desserts,26,28,30
Wednesday,South Indian,52,54,56
Wednesday,North Indian,70,72,74
Wednesday,Chinese,40,42,45
Wednesday,Fast Food,60,62,64
Wednesday,Desserts,29,31,34
Thursday,South Indian,56,58,60
Thursday,North Indian,74,76,78
Thursday,Chinese,48,50,52
Thursday,Fast Food,65,68,70
Thursday,Desserts,34,36,39
Friday,South Indian,72,75,80
Friday,North Indian,95,98,104
Friday,Chinese,70,72,78
Friday,Fast Food,90,94,99
Friday,Desserts,48,52,56
Saturday,South Indian,90,92,99
Saturday,North Indian,120,125,132
Saturday,Chinese,92,96,104
Saturday,Fast Food,118,122,128
Saturday,Desserts,70,72,78
Sunday,South Indian,100,105,112
Sunday,North Indian,130,135,142
Sunday,Chinese,98,102,110
Sunday,Fast Food,126,130,138
Sunday,Desserts,75,80,85
Monday,South Indian,47,49,51
Monday,North Indian,63,65,67
Monday,Chinese,37,39,42
Monday,Fast Food,53,56,57
Monday,Desserts,27,29,31
Tuesday,South Indian,50,53,54
Tuesday,North Indian,67,69,71
Tuesday,Chinese,39,42,44
Tuesday,Fast Food,57,59,61
Tuesday,Desserts,30,32,33
Wednesday,South Indian,54,56,58
Wednesday,North Indian,72,74,77
Wednesday,Chinese,44,46,48
Wednesday,Fast Food,61,64,65
Wednesday,Desserts,32,34,36
Thursday,South Indian,58,60,63
Thursday,North Indian,76,79,81
Thursday,Chinese,49,52,55
Thursday,Fast Food,68,70,73
Thursday,Desserts,36,38,41
Friday,South Indian,75,78,84
Friday,North Indian,98,102,108
Friday,Chinese,74,77,82
Friday,Fast Food,94,98,104
Friday,Desserts,52,55,60
Saturday,South Indian,92,96,102
Saturday,North Indian,122,128,136
Saturday,Chinese,95,99,108
Saturday,Fast Food,122,126,134
Saturday,Desserts,72,76,82
Sunday,South Indian,102,108,116
Sunday,North Indian,134,140,148
Sunday,Chinese,102,106,115
Sunday,Fast Food,130,136,144
Sunday,Desserts,78,82,88
Monday,South Indian,44,47,49
Monday,North Indian,61,63,66
Monday,Chinese,34,37,39
Monday,Fast Food,49,53,55
Monday,Desserts,24,27,28
Tuesday,South Indian,49,51,53
Tuesday,North Indian,66,68,70
Tuesday,Chinese,37,40,43
Tuesday,Fast Food,54,57,59
Tuesday,Desserts,29,31,32
Wednesday,South Indian,53,55,57
Wednesday,North Indian,71,73,76
Wednesday,Chinese,43,45,47
Wednesday,Fast Food,59,62,64
Wednesday,Desserts,31,33,35
Thursday,South Indian,57,59,62
Thursday,North Indian,75,78,80
Thursday,Chinese,47,50,53
Thursday,Fast Food,66,69,71
Thursday,Desserts,35,37,40
Friday,South Indian,70,74,78
Friday,North Indian,93,96,102
Friday,Chinese,68,71,76
Friday,Fast Food,88,92,97
Friday,Desserts,47,50,55
Saturday,South Indian,88,92,98
Saturday,North Indian,118,122,130
Saturday,Chinese,88,93,100
Saturday,Fast Food,114,119,126
Saturday,Desserts,68,71,77
Sunday,South Indian,98,102,110
Sunday,North Indian,128,132,140
Sunday,Chinese,94,99,106
Sunday,Fast Food,124,129,136
Sunday,Desserts,74,78,84
Monday,South Indian,46,48,50
Monday,North Indian,62,64,66
Monday,Chinese,36,38,40
Monday,Fast Food,51,54,56
Monday,Desserts,26,28,30
Tuesday,South Indian,51,53,55
Tuesday,North Indian,68,70,72
Tuesday,Chinese,40,42,45
Tuesday,Fast Food,58,61,63
Tuesday,Desserts,31,33,34
Wednesday,South Indian,55,57,60
Wednesday,North Indian,73,76,78
Wednesday,Chinese,45,48,50
Wednesday,Fast Food,63,66,68
Wednesday,Desserts,33,36,38
Thursday,South Indian,60,63,65
Thursday,North Indian,78,81,84
Thursday,Chinese,51,54,57
Thursday,Fast Food,70,73,76
Thursday,Desserts,38,41,44
Friday,South Indian,78,82,88
Friday,North Indian,102,106,112
Friday,Chinese,78,82,87
Friday,Fast Food,98,103,110
Friday,Desserts,55,58,64
Saturday,South Indian,96,100,108
Saturday,North Indian,126,132,140
Saturday,Chinese,98,104,112
Saturday,Fast Food,126,131,140
Saturday,Desserts,75,80,86
Sunday,South Indian,106,112,120
Sunday,North Indian,138,145,154
