food_id,food_name,category,taste,vegetarian,price,rating,description,ingredients,image_url
120,4.6,Crispy fermented crepe made from rice and lentils stuffed with spiced potato mash served with coconut chutney and sambar.,Rice batter, Potato, Mustard seeds, Curry leaves, Turmeric, Chutney,https://images.unsplash.com/photo-1589301760014-d929f3979dbc?w=500&auto=format&fit=crop&q=80
80,4.5,Soft and fluffy steamed rice cakes served with aromatic vegetable sambar and fresh coconut chutney.,Rice, Urad dal, Sambar lentils, Drumsticks, Coconut, Curry leaves,https://images.unsplash.com/photo-1589301760014-d929f3979dbc?w=500&auto=format&fit=crop&q=80
90,4.4,Golden fried lentil doughnuts with a crunchy exterior and fluffy interior paired with spicy tomato chutney.,Urad dal, Green chilies, Ginger, Black pepper, Curry leaves, Onion,https://images.unsplash.com/photo-1626777552726-4a6b54c97e46?w=500&auto=format&fit=crop&q=80
280,4.7,Fiery Tamil Nadu style chicken curry cooked with freshly roasted spices and star anise.,Chicken, Roasted coriander, Fennel, Black pepper, Star anise, Coconut,https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=500&auto=format&fit=crop&q=80
140,4.7,Signature thin crispy dosa smeared with spicy red garlic-chili paste and stuffed with potato masala.,Rice batter, Red chili paste, Garlic, Potato, Butter, Coconut chutney,https://images.unsplash.com/photo-1589301760014-d929f3979dbc?w=500&auto=format&fit=crop&q=80
240,4.8,Flaky layered Kerala parotta served with slow-cooked coconut milk chicken gravy.,Refined flour, Chicken, Coconut milk, Curry leaves, Fennel seeds, Shallots,https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=500&auto=format&fit=crop&q=80
190,4.8,Overnight slow-cooked black lentils and kidney beans enriched with fresh cream and clarified butter.,Whole black urad, Kidney beans, Cream, Butter, Ginger-garlic, Kashmiri chili,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=500&auto=format&fit=crop&q=80
160,4.6,Spicy Punjabi chickpea curry served with two hot and puffed golden bhaturas and pickled onions.,Chickpeas, Tea leaves brew, Puffed flour bhature, Chole spices, Green chili, Onion pickle,https://images.unsplash.com/photo-1626777552726-4a6b54c97e46?w=500&auto=format&fit=crop&q=80
210,4.5,Fresh tandoor-baked leavened flatbread topped with garlic butter and accompanied by smoky paneer tikka.,Flour, Garlic, Butter, Cottage cheese, Bell peppers, Tandoori spices,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=500&auto=format&fit=crop&q=80
340,4.8,Signature Kashmiri slow-braised lamb chunks in a deeply aromatic yogurt and ratan jot spiced gravy.,Mutton, Kashmiri chili, Fennel powder, Dry ginger, Yogurt, Whole garam masala,https://images.unsplash.com/photo-1545247181-516773ca838b?w=500&auto=format&fit=crop&q=80
210,4.4,Fresh nutritious spinach puree tempered with garlic and cumin with silky cottage cheese cubes.,Spinach, Paneer, Garlic, Cumin, Cream, Mild garam masala,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=500&auto=format&fit=crop&q=80
220,4.6,Fragrant long-grain rice stir-fried in a fiery house-made Schezwan sauce with shredded chicken and eggs.,Basmati rice, Chicken, Schezwan chili paste, Eggs, Garlic, Spring onion,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=500&auto=format&fit=crop&q=80
150,4.2,Golden fried thin pastry rolls loaded with sauteed shredded veggies served with sweet chili dipping sauce.,Spring roll sheets, Cabbage, Carrots, Glass noodles, Sweet chili dip,https://images.unsplash.com/photo-1544025162-d76694265947?w=500&auto=format&fit=crop&q=80,
120,4.5,Crispy golden cut potato fries tossed in fiery African peri peri seasoning and drizzled with cheese sauce.,Potato fries, Peri-peri dust, Cheese sauce, Jalapeños, Herbs,https://images.unsplash.com/photo-1573080496219-bb080dd4f877?w=500&auto=format&fit=crop&q=80,
210,4.6,Six pieces of bone-in chicken wings tossed in hot buffalo chili sauce served with cooling ranch dip.,Chicken wings, Buffalo hot sauce, Garlic butter, Celery sticks, Ranch dip,https://images.unsplash.com/photo-1527477396000-e27163b481c2?w=500&auto=format&fit=crop&q=80,
120,4.8,Soft flattened paneer discs poached in sweetened milk flavored with saffron and crushed green cardamom.,Chhena cottage cheese, Condensed milk, Saffron, Cardamom, Almond slivers,https://images.unsplash.com/photo-1589119908995-c6837fa14d48?w=500&auto=format&fit=crop&q=80,
160,4.9,Rich chocolate fudge brownie served on a hot sizzler plate with vanilla bean ice cream and hot chocolate fudge.,Dark chocolate, Cocoa, Butter, Vanilla ice cream, Hot fudge sauce, Walnuts,https://images.unsplash.com/photo-1606313564200-e75d5e30476c?w=500&auto=format&fit=crop&q=80
90,4.7,Traditional slow-churned Indian frozen dessert infused with pure Ratnagiri Alphonso mango pulp and pistachios.,Full fat milk, Mango pulp, Condensed milk, Cardamom, Pistachio nuts,https://images.unsplash.com/photo-1501443762994-82bd5dace89a?w=500&auto=format&fit=crop&q=80,
140,4.6,Fluffy crimson sponge layers layered with smooth tangy vanilla cream cheese frosting and white chocolate pearls.,Flour, Cocoa, Buttermilk, Cream cheese frosting, White chocolate crispies,https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=500&auto=format&fit=crop&q=80,
